"Name","Gender","Junior or Senior Student?","KO Sept 05","KO Sept 06","KO Oct 0","CPSC program","CPSC Major","Year of study","Mentor gender preference","Areas of interest","Interests/hobbies","Co-op status","If not, Interested?","Career plans - IT job?","Career plans - grad school","Career plans - academic job","Career plans - unsure","Career plans - other"
1000,"F","Junior",0,1,0,"BCS",,3,"DNM","I'm very interested in design, I am planning to bridge into engineering (especially EE) with computer science. I'm interested to know more about machine learning and AI, and their implementation in the engineering and design field. And I'd like to know about more course/program options towards this end. I'm planning to take a few engineering courses such as EECE369, EECE 418 EECE355 later in the program, and I'm not quite sure if it's possible","Photography, Gadgets, Science","N","Y","Y",,,,
1001,"M","Junior",1,0,0,"BCS",,3,"DNM","web technologies, security, databases, design (startups)","volleyball, hockey, learning, design and technology","N","Y","Y","not sure",,,
1002,"M","Junior",1,0,0,"BCS",,3,"DNM","Operating systems, App development, Web development, Robust programs","Snowboarding, running, making iPhone apps","N","Y","Y",,,,
1003,"M","Junior",0,0,1,"BSc","Y",0,"DNM","General CS","Reading","N","N","Y",,,,
1004,"M","Junior",0,0,1,"BCS",,3,"DNM","software engineering, databases, data mining","biking, running, investing","N","Y","Y",,,,
1005,"F","Junior",1,0,0,"BCS",,3,"DNM","software programming, animation","hanging out, painting, writing, watching videos, hiking, travelling","N","Y","Y",,,,
1006,"M","Junior",0,1,0,"BSC",,1,"DNM","AI, coding for graphics","technical theatre, videogames, creative writing","N","Y","Y",,"Y","Y",
1007,"M","Junior",0,0,1,"BSc ",,0,"DNM","Programming, security/hacking, IT repair","video games, soccer, computers","N","Y","Y","Y",,,
1008,"M","Junior",1,0,0,"BCS",,3,"DNM","Software and app development, Programming languages, Web development","Video games, films, Watching sports, fitness","N","Y","Y","Y","Y",,
1009,"F","Junior",1,0,0,"BSC",,0,"DNM","Internet programming, computer programming",,"N","N","Y",,,"Y",
1010,"M","Junior",0,1,0,"BCS",,3,"DNM","web development, software engineering, Information security, big data, education","entrepreneurship, guitar, soccer","N","Y",,,,"Y",
1011,"F","Junior",0,1,0,"BCS",,3,"F","website, app, platform development","music, sports, outdoor activities (snowboarding, hiking, camping), biology, psychology","N","Y","Y",,,,"start-ups"
1012,"M","Junior",1,0,0,"BSc","Y",0,"DNM","security, cryptography","Reading","N","Y","Y","Y",,,
1013,"F","Junior",1,0,0,"BCS",,3,"DNM","Health Informatics, yet flexible","Computers","N","Y","Y","Y","Y",,
1014,"F","Junior",0,1,0,"BSC",,0,"F","Data Bases and graphics","sports, painting, debate","N","N","Y","Y",,,
1015,"F","Junior",0,1,0,"COGS",,0,"DNM","Human computer interaction","classical piano, english literature, graphic design, psychology, film","N","Y","Y","Y",,"Y",
1016,"M","Junior",1,0,0,"BCS",,3,"DNM","Programming, AI, Cognitive Science, Robotics, Computer Networks","Programming, swimming, photography","N","Y","Y","Y","Y",,
1017,"M","Junior",1,0,0,"BSc","Y",0,"M","Objective C, iOS, Mac OS applications","freelance iOS developer, stock markets (bot applications), bitcoin markets","N","Y","Y","Y",,,
1018,"M","Junior",1,0,0,"BSc","Y",0,"DNM","HCI, Software engineering, Data visualization, ML","Independent video games, Music, Art, Theatre, Economics, Entrepreneurship, Start-ups, Social activism","N","Y","Y",,,,
1019,"M","Junior",1,0,0,"BCS",,3,"DNM","HCI, Networking, Database","Soccer, Computers, Movie, Music","N","Y","Y",,,,
1020,"M","Junior",0,1,0,"BUCS",,0,"DNM","software design, graphics, animation","sports, arts, investments, social events","N","Y","Y",,,"Y",
1021,"F","Junior",0,1,0,"BSC",,0,"F","Software Development, computer security, biomedical computing, AI, crypotology","Piano, tennis, travelling","N","Y","Y","Y",,,
1022,"M","Junior",1,0,0,"BCS",,3,"DNM","Data mining, Bioinformatics, Artificial intelligence, software engineering","Biology, Medicine, Science, Technology, Business, Swimming, Sports","N","Y","Y","Y",,"Y",
1023,"M","Junior",0,1,0,"BSc and Physics",,0,"DNM","Computer science in real life","swimming, badminton, online gaming","N","Y","Y",,,,"create a new type of website"
1024,"M","Junior",0,0,1,"BCS",,3,"DNM","Software engineering, entrepreneurship","playing piano, guitar, basketball","N","Y","Y",,,,
