"Name","Gender","Junior or Senior Student?","KO Sept 05","KO Sept 06","KO Oct 0","CPSC program","CPSC Major","Year of study","Mentor gender preference","Areas of interest","Interests/hobbies","Co-op status","If not, Interested?","Career plans - IT job?","Career plans - grad school","Career plans - academic job","Career plans - unsure","Career plans - other"
2000,"F","Senior",0,1,0,"BCS",,3,"DNM","Big Data, Data Mining, Mobile Development","Public Speaking, Piano","N","N","Y","Y",,,
2001,"M","Senior",0,0,1,"BSc in CS",,3,"DNM","Software Engineering, Programming","Computer games, Sports","N","Y","Y","Y",,,
2002,"M","Senior",1,0,0,"BCS",,4,"DNM","Management Informaiton Systems, Business Intelligence","Badminton, Skiing, Video games","Y",,"Y",,,,
2003,"M","Senior",0,1,0,"BSc in CS",,4,"DNM","High scalability, Machine learning, big data, Data mining, Algorithms, Distributed computing",,"N","N","Y",,,,
2004,"F","Senior",1,0,0,"BCS",,3,"DNM","AI, human/machine interaction, cognitive system, data mining, cloud computing","travel, photography, coding","N","Y","Y","Y",,,
2005,"F","Senior",0,1,0,"CS and Statistics",,0,"DNM","computer systems and software programming","swimming, skating, running, cooking food","Y",,"Y","N","Y",,
2006,"F","Senior",1,0,0,"BA in CS",,3,"DNM","Scientific computing, database, software engineering, statistical analysis","Outdoor activities, Frisbee, Art","Y",,,"Y",,"Y",
2007,"F","Senior",0,1,0,"BCS",,3,"F","NLP, AI, Software development","reading, movies, meditation","Y",,"Y",,,,
2008,"F","Senior",0,1,0,"Combined CS and Math with Minor in Commerce",,4,"DNM","Web, Machine learning, Cloud computing","Music, Travel, Hiking","Y",,"Y",,,,
2009,"M","Senior",1,0,0,"BSc in CS",,5,"DNM","Data mining, Artificial intelligence, Business intelligence, Software development","Volunteering for first aid, Reading, Music","Y",,,,,,
2010,"F","Senior",1,0,0,"BSc in CS",,3,"DNM","Database, Data mining","Badminton","N","N","Y","Y",,,
2011,"F","Senior",0,1,0,"Combined CS and Commerce ",,3,"DNM","Data management","Traveling, Yoga","Y","Y","Y",,,,
2012,"M","Senior",1,0,0,"BSc in CS & BA in Visual Arts",,3,"DNM","Human-computer interaction, Artificial intelligence, Data mining","Visual arts, design, music, outdoor sports","N","N",,"Y","Y",,
2013,"M","Senior",1,0,0,"BCS",,4,"DNM","Games, Database, Hardware, AI","Soccer, Badminton, Games","Y",,"Y","Y","Y","Y",
2014,"M","Senior",0,1,0,"BCS",,3,"DNM","Security, Programming, Networking","Web design, Programming, Gaming","N","Y","Y",,,"Y",
